FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Condition,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Limb_Dominant,Limb_NonDominant
-6.3272962,-7.425756,0.050744,4.0613888000000005,1.2704018,1.1555626,0.19032520000000003,0.0932674,0.47277020000000003,0.14261500000000002,5.513625,1.30017,1.371042,0.267988,Wide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.212765,-11.9334992,0.042644200000000014,3.0744682,1.0967256,1.0381261999999998,0.2633518,0.031968,0.17914539999999998,0.28239000000000003,1.226999,1.39995,1.382578,0.31480800000000003,Wide,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-11.5094202,-12.603545599999999,0.0236694,0.5587512,1.0392818000000001,1.017087,0.07936280000000001,0.07057519999999999,0.3385728,0.0678958,2.04997,1.01459,1.233592,0.33926,Wide,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.1564532,-3.1705636000000004,0.016115400000000002,-1.1832341999999998,1.060484,1.0042604000000002,0.11520239999999998,0.035005400000000006,0.017088600000000002,0.25025099999999995,2.7408846000000002,0.614006,0.94136,0.287326,Wide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0722212,-10.707909599999999,0.0198326,0.8929604000000001,1.164203,1.0714792,0.15099120000000002,0.058339,0.3865176,0.097545,5.7001934,1.128462,1.20945,0.250448,Wide,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-6.4193916,-7.1714338,0.0786698,7.141112,0.9883076,1.0338704,0.1993498,0.1569568,0.15325780000000006,0.1462008,1.5848916000000002,0.708688,0.913594,0.348638,Wide,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-11.9445304,-12.7936408,0.143525,7.9234196,1.045532,1.051009,0.3209148000000001,0.24951679999999996,0.268602,0.14543720000000002,-3.3275586,0.918156,1.034002,0.29828400000000005,Wide,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-7.823663000000002,-7.777052999999999,0.0081354,-4.653542,1.0003191999999999,1.126427,0.1256182,0.05368680000000001,0.27297140000000003,0.2044424,-3.4845394,1.22692,1.356684,0.33299,Wide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-0.8441993999999999,-2.3906183999999997,0.10213160000000003,3.6290480000000005,1.2276644,1.0738941999999998,0.305758,0.1818308,0.29750180000000004,0.14189459999999998,3.9377888,1.1959620000000002,1.399492,0.31371000000000004,Wide,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-12.4481314,-13.080585200000002,0.09048099999999999,2.7823112,1.1577038,1.0602261999999998,0.31760700000000003,0.1557198,0.29417160000000003,0.1614752,0.1463142,1.1238680000000003,1.423238,0.30222800000000005,Wide,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-13.5703162,-14.545931399999995,0.0485104,1.5393514,0.92202,0.9394872,0.1351876,0.1153624,0.2982276,0.0767688,4.870486799999999,1.10494,1.2662300000000002,0.285058,Wide,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-3.7089748,-4.4693698,0.0724678,-0.15354120000000002,1.050215,1.0271325999999998,0.15676839999999995,0.12830899999999998,0.370419,0.0721318,2.9872718000000003,0.88749,1.1081020000000001,0.3150180000000001,Wide,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-14.133269,-14.6072992,0.0435906,0.9076482,1.1324598,1.0386936,0.2543864,0.0925702,0.31500720000000004,0.052292000000000005,1.42067,1.350502,1.330292,0.28394400000000003,Wide,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-10.474936999999999,-11.322028199999998,0.045693400000000016,-2.4317474,1.0976594,1.059117,0.16782180000000002,0.10504160000000001,0.5115904,0.0390542,0.03503179999999999,1.189462,1.2665780000000002,0.31620400000000004,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-9.4552524,-10.052164,0.022991,2.501959,1.1691664000000002,1.0930488,0.21805100000000002,0.013573400000000001,0.4028988,0.1985078,5.0254172,1.16559,1.209748,0.29060800000000003,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
-2.9670832000000003,-3.983275,0.0664304,2.5749746,0.9773748,1.0680120000000002,0.2160784,0.08391179999999998,0.127327,0.10955119999999999,-3.0616454,1.144312,1.2520399999999998,0.32985,Wide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-2.2874334000000003,-3.124541,0.057464999999999995,-1.0929326000000001,1.0924646,1.0632107999999998,0.2067578,0.0962756,0.2056782,0.32275040000000005,-0.454002,1.2228379999999999,1.3110579999999998,0.283174,Wide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-3.1807042,-4.6048486,0.07051039999999999,1.5968383999999998,1.0886796,1.0639980000000002,0.2449192,0.1302844,0.3261416,0.2060948,0.6414594,1.335392,1.3177800000000002,0.314348,Wide,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-9.4432564,-10.3874602,0.1269612,4.446162999999999,1.1134362,1.0110768,0.2921472,0.19243,0.4001076,0.1120286,3.8012576,1.036622,1.2707959999999998,0.33497,Wide,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
