	TLAngleAtPKAM1	Speed	Stride_Length_Mean
Subject: 1	0.384674623	0.47493175	0.530577767
Subject: 2	0.647416688	0.532278145	-0.115752645
Subject: 3	0.385288613	-0.436292128	-0.357693454
Subject: 4	-0.466949981	-0.951465035	-0.971115913
Subject: 5	0.029580709	-0.325147222	-0.226614116
Subject: 6	-0.38623065	0.169776218	-0.690562062
Subject: 7	0.683870447	-0.242852489	-0.600384837
Subject: 8	0.183729008	0.019308874	-0.268450435
Subject: 9	0.487612027	-0.540436833	-0.595212549
Subject: 10	-0.631400935	-0.399047163	0.04662554
Subject: 11	0.075932675	0.60989446	-0.16665473
Subject: 12	-0.008384357	-0.183421646	-0.377545656
Subject: 13	0.097550106	0.755126053	0.296932857
Subject: 14	0.358255218	0.297180678	0.043732637
Subject: 15	0.476112777	-0.42404649	-0.587385344
Subject: 16	-0.684315876	0.140834009	0.161296667
