	TLAngleAtPKAM1
Subject: 0	-0.4309368
Subject: 0	1.5194942
Subject: 0	-1.4655048
Subject: 0	0.0293522
Subject: 0	1.9475872
Subject: 1	-2.8551498
Subject: 1	0.7973042
Subject: 1	-3.3324628
Subject: 1	-6.1853378
Subject: 1	-2.9693418
Subject: 2	0.0941312
Subject: 2	-0.6991488
Subject: 2	-1.1358448
Subject: 2	-1.9529218
Subject: 2	-2.8189488
Subject: 3	4.4770526
Subject: 3	3.4099996
Subject: 3	1.4367736
Subject: 3	-5.8136544
Subject: 3	4.5939216
Subject: 4	0.2858406
Subject: 4	1.5033456
Subject: 4	-0.4105044
Subject: 4	2.0274336
Subject: 4	2.5229746
Subject: 5	9.2870636
Subject: 5	-0.2165464
Subject: 5	3.2357846
Subject: 5	3.7258016
Subject: 5	3.9650126
Subject: 6	-4.178534
Subject: 6	-2.540612
Subject: 6	-2.984888
Subject: 6	-2.920439
Subject: 6	0.103222
Subject: 7	-2.2746148
Subject: 7	-2.3492728
Subject: 7	1.7168682
Subject: 7	-0.0685568
Subject: 7	-1.7483848
Subject: 8	-4.7648376
Subject: 8	-3.1934286
Subject: 8	-1.7148796
Subject: 8	-0.7102166
Subject: 8	-4.0884916
Subject: 9	-1.3627876
Subject: 9	-1.9280256
Subject: 9	-1.2038036
Subject: 9	-1.1487986
Subject: 9	-0.2504266
Subject: 10	-0.433575
Subject: 10	-1.35083
Subject: 10	1.359088
Subject: 10	0.339372
Subject: 10	0.042266
Subject: 11	-1.4520094
Subject: 11	-0.3899844
Subject: 11	1.3652056
Subject: 11	-1.0958214
Subject: 11	-3.1356544
Subject: 12	1.7509986
Subject: 12	-1.3596184
Subject: 12	-0.2571624
Subject: 12	-0.3894864
Subject: 12	-5.0782344
Subject: 13	0.7759944
Subject: 13	-0.2311356
Subject: 13	-1.7983336
Subject: 13	-3.8333806
Subject: 13	-2.3590326
Subject: 14	-2.3615948
Subject: 14	-0.7525128
Subject: 14	-1.8027298
Subject: 14	-1.4205298
Subject: 14	-1.1864318
Subject: 15	1.629628
Subject: 15	2.493603
Subject: 15	1.377319
Subject: 15	4.012921
Subject: 15	3.328693
